file,headline,fr,de,es,ru,is_fake
015fake.txt,Kanye West Is Reportedly in Talks to Judge an 'American Idol' Reboot,Kanye West serait en pourparlers pour juger un redémarrage de «American Idol».,"Kanye West ist Berichten zufolge in Gesprächen, um einen Neustart von ""American Idol"" zu beurteilen.","Según los informes, Kanye West está en conversaciones para juzgar un reinicio de 'American Idol'.","Канье Уэст, как сообщается, ведет переговоры о перезагрузке «Американский кумир».",1
020fake.txt,Kim Kardashian's 'Fears Will Explode' If Kanye West Runs For President: She's 'Very Nervous',«Les craintes de Kim Kardashian explosent» si Kanye West se présente à la présidence: elle est «très nerveuse».,"Kim Kardashians ""Ängste werden explodieren"", wenn Kanye West als Präsident kandidiert: Sie ist ""sehr nervös"".",Los 'temores de Kim Kardashian explotarán' si Kanye West se postula para la presidenta: está 'muy nerviosa'.,"«Страхи» Ким Кардашьян взорвется », если Канье Уэст будет баллотироваться на пост президента: она« очень нервничает ».",1
026fake.txt,Anna Faris Feels Insecure Because Of Her Husband's Affair with Jennifer Lawrence! Is Chris Pratt To Blame? – Live Rumours,Anna Faris ne se sent pas en sécurité à cause de la liaison de son mari avec Jennifer Lawrence! Chris Pratt est-il responsable? - Rumeurs en direct.,Anna Faris fühlt sich aufgrund der Affäre ihres Mannes mit Jennifer Lawrence unsicher! Ist Chris Pratt schuld? - Live -Gerüchte.,¡Anna Faris se siente insegura por el asunto de su esposo con Jennifer Lawrence! ¿Chris Pratt tiene la culpa? - rumores en vivo.,Анна Фарис чувствует себя неуверенно из -за романа своего мужа с Дженнифер Лоуренс! Крис Пратт виноват? - Живые слухи.,1
006fake.txt,"Brad Pitt Is ""Still in Contact"" With Ex Jennifer Aniston Following Angelina Jolie Divorce (REPORT)","Brad Pitt est ""toujours en contact"" avec l'ex Jennifer Aniston après Angelina Jolie Divorce (rapport).","Brad Pitt ist ""noch in Kontakt"" mit Ex Jennifer Aniston nach Angelina Jolie Divorce (Bericht).","Brad Pitt está ""todavía en contacto"" con la ex Jennifer Aniston después de Angelina Jolie Divorce (informe).",Брэд Питт «все еще в контакте» с бывшей Дженнифер Энистон после развода Анджелины Джоли (отчет).,1
001fake.txt,JENNIFER ANISTON HINTS AT FRIENDS REUNION,Jennifer Aniston fait allusion aux retrouvailles des amis.,Jennifer Aniston weist auf die Friends Reunion hin.,Jennifer Aniston insinúa la reunión de amigos.,Дженнифер Энистон намекает на воссоединение друзей.,1
025fake.txt,Did Angelina Jolie Fake Maddox Jolie Pitt's Adoption? Inside The Shocking Claims,Angelina Jolie a-t-elle simulé l'adoption de Maddox Jolie Pitt? À l'intérieur des affirmations choquantes.,Hat Angelina Jolie Maddox Jolie Pitts Adoption gefälscht? Innerhalb der schockierenden Behauptungen.,¿La adopción de Angelina Jolie Fake Maddox Jolie Pitt? Dentro de las impactantes afirmaciones.,Анджелина Джоли подделалась усыновлению Мэддокс Джоли Питта? Внутри шокирующие претензии.,1
017fake.txt,Kim Kardashian: Nude Cookbook on the Way?!?,Kim Kardashian: livre de cuisine nu sur le chemin?!?.,Kim Kardashian: Nacktes Kochbuch unterwegs?!?.,Kim Kardashian: ¿Libro de cocina desnudo en camino?.,Ким Кардашьян: Обнаженная кулинарная книга по дороге?!?.,1
004fake.txt,Heartbroken Jennifer Aniston Runs For The Border To Adopt,Le cœur brisé Jennifer Aniston court pour que la frontière adopte.,"Jennifer Aniston mit gebrochenem Herzen läuft an der Grenze, um zu adoptieren.",Con el corazón roto Jennifer Aniston corre para que la frontera adopte.,"Разбитая горем Дженнифер Энистон баллотируется на границу, чтобы усыновить.",1
008fake.txt,Angelina Jolie Threatens Brad Pitt: Don't Bring The Kids Around Jennifer Aniston,Angelina Jolie menace Brad Pitt: N'apportez pas les enfants autour de Jennifer Aniston.,Angelina Jolie bedroht Brad Pitt: Bringen Sie die Kinder nicht um Jennifer Aniston herum.,Angelina Jolie amenaza a Brad Pitt: No traigas a los niños a Jennifer Aniston.,Анджелина Джоли угрожает Брэду Питту: Не приводите детей вокруг Дженнифер Энистон.,1
016fake.txt,'Jealous' Kim Tries To Steal Beyonce's Baby Spotlight,`` Jealous '' Kim essaie de voler les projecteurs de bébé de Beyonce.,"'Eifersüchtig' Kim versucht, Beyonces Baby ins Rampenlicht zu stehlen.",'Celoso' Kim intenta robar el centro de atención del bebé de Beyonce.,«Ревнивая» Ким пытается украсть детское внимание Бейонсе.,1
005fake.txt,Jennifer Aniston Cheated On Brad Pitt With Matt LeBlanc While Married? - Report,Jennifer Aniston a trompé Brad Pitt avec Matt LeBlanc alors qu'il était marié? - Rapport.,"Jennifer Aniston betrogen Brad Pitt mit Matt LeBlanc, während er verheiratet ist? - Bericht.",¿Jennifer Aniston engañó a Brad Pitt con Matt LeBlanc mientras estaba casado? - Informe.,Дженнифер Энистон изменяла Брэду Питту с Мэттом Лебланком во время замужнего? - Отчет.,1
064fake.txt,Does Madonna Want To Send Rebellious Rocco To Military School?,Madonna veut-elle envoyer un Rocco rebelle à l'école militaire?.,Will Madonna rebellische Rocco in die Militärschule schicken?.,¿Madonna quiere enviar a Rocco rebelde a la escuela militar?.,Мадонна хочет отправить мятежный Рокко в военную школу?.,1
057fake.txt,"Cameron DiazThe Resume(August 30, 1972- )",Cameron Diazthe CV (30 août 1972-).,Cameron Diazthe Lebenslauf (30. August 1972-).,Cameron Diazthe Reano (30 de agosto de 1972-).,Кэмерон Диазт резюме (30 августа 1972-).,1
037fake.txt,BREAKING: Drake Reportedly Had A 'WEED OVERDOSE',Breaking: Drake aurait eu une `` surdose des mauvaises herbes ''.,"BREAKING: Drake hatte angeblich eine ""Unkrautüberdosis"".","Breaking: Según los informes, Drake tenía una 'sobredosis de malezas'.","Перерыв: у Дрейка, как сообщается, была «передозировка сорняков».",1
049fake.txt,Billy Bush's wife is 'furious' at him after Trump interview leak,La femme de Billy Bush est `` furieuse '' après lui après la fuite interviewée par Trump.,"Billy Bushs Frau ist nach dem Trump -Interview -Leck ""wütend""..","La esposa de Billy Bush está ""furiosa"" con él después de la filtración de la entrevista de Trump.",Жена Билли Буша «в ярости» после утечки интервью Трампа.,1
027fake.txt,It's Over! Jennifer Lawrence & Darren Aronofsky's Hot Fling Cools ALREADY,C'est fini! Jennifer Lawrence.,Es ist aus! Jennifer Lawrence.,¡Se acabó! Jennifer Lawrence.,Все кончено! Дженифер Лоуренс.,1
031fake.txt,(EXCLUSIVE) Usher Cast On 'Dancing With The Stars',(Exclusif) Usher a jeté `` danser avec les étoiles ''.,(Exklusiv) Usher -Besetzung auf 'Dancing with the Stars'.,(Exclusivo) Usher elenco en 'Dancing with the Stars'.,(Эксклюзив) Ашер актер на «Танцы со звездами».,1
104fake.txt,"OJ’s Comeback Plan: “Dancing With The Stars"" - EXCLUSIVE","Plan de retour d'OJ: ""Dancing with the Stars"" - exclusif.","OJs Comeback -Plan: ""Dancing with the Stars"" - exklusiv.","Plan de regreso de OJ: ""Dancing With the Stars"" - Exclusivo.",План возвращения OJ: «Танцы со звездами» - эксклюзив.,1
105fake.txt,Wild Child! Is Angelina Jolie's Bratty Brood Putting Ailing Actress' Health At Risk?,Enfant sauvage! La Bratty Brood d'Angelina Jolie met-elle en danger la santé de l'actrice malade?.,Wildes Kind! Ist Angelina Jolies braurty Brut die Gesundheit der artler Schauspielerin gefährdet?.,"¡Niño salvaje! ¿Está en riesgo la salud de Angelina Jolie, la salud de la actriz enfermo?.","Дикий ребенок! Является ли Bratty Brood Angelina Jolie, подвергая себя риску больного здоровья актрисы?.",1
076fake.txt,Jennifer Aniston sends fiance Justin Theroux to 'commitment camp',Jennifer Aniston envoie le fiancé Justin Theroux au «camp d'engagement».,Jennifer Aniston schickt den Verlobten Justin Theroux zum 'Engagement Camp'.,Jennifer Aniston envía al prometido Justin Theroux a 'Campamento de compromiso'.,Дженнифер Энистон отправляет жениха Джастин Теру в «лагерь обязательств».,1
068fake.txt,'Girl' Fight! Kanye West Confronts Anna Wintour Over Putting Lena Dunham On 'Vogue' Cover Instead Of Fiancée Kim Kardashian,'Une bataille entre filles! Kanye West affronte Anna Wintour pour mettre Lena Dunham sur la couverture «vogue» au lieu de la fiancée Kim Kardashian.,'Mädchenkampf! Kanye West konfrontiert Anna Wintour über Lena Dunham auf 'Vogue' Cover anstelle von Verlobter Kim Kardashian.,'¡Pelea de mujeres! Kanye West se enfrenta a Anna Wintour por poner a Lena Dunham en la portada de 'Vogue' en lugar de la prometida Kim Kardashian.,"'Женская драка! Канье Уэст противостоит Анне Винтур по поводу того, что Лена Данхэм на обложку «Vogue» вместо невесты Ким Кардашьян.",1
055fake.txt,"Jennifer Aniston's Diva Set Behavior - Won't Eat Lunch With The Cast, Luxury SUV And Private Trailer Miles Away!","Le comportement de la diva de la diva de Jennifer Aniston - ne va pas déjeuner avec le casting, le SUV de luxe et la remorque privée à des kilomètres!.","Jennifer Anistons Diva -Set -Verhalten - Es wird kein Mittagessen mit der Besetzung, dem Luxus -SUV und dem privaten Trailer kilometerweit entfernt essen!.","Comportamiento del set de diva de Jennifer Aniston: ¡no almorzará con el elenco, el SUV de lujo y el remolque privado a millas de distancia!.","Дженнифер Энистон Дива поведение - не пообедайте с актерским составом, роскошным внедорожником и частным трейлером за много миль!.",1
029fake.txt,Prince - The Truth Behind His Drug Overdose,Prince - La vérité derrière sa surdose de drogue.,Prinz - die Wahrheit hinter seiner Drogenüberdosis.,Príncipe: la verdad detrás de su sobredosis de drogas.,"Принц - правда, стоящая за его передозировкой наркотиков.",1
084fake.txt,Kendall Jenner Wants to Break Free From the Kardashian Clan,Kendall Jenner veut se libérer du clan Kardashian.,Kendall Jenner will sich vom Kardashian -Clan befreien.,Kendall Jenner quiere liberarse del clan Kardashian.,Кендалл Дженнер хочет вырваться из клана Кардашьян.,1
048fake.txt,Did Meek Mill Find Nicki Minaj In A Lesbian Tryst With Young M,Meek Mill a-t-il trouvé Nicki Minaj dans un rendez-vous lesbien avec Young M.,Fand Meek Mill Nicki Minaj in einem lesbischen Tryst mit Young M..,¿Meek Mill encontró a Nicki Minaj en una cita lesbiana con Young M?.,Meek Mill нашел Ники Минаж в лесбийском свинце с Young M.,1
054fake.txt,'Jessie J's 100% gay,'Jessie J's 100% gay.,'Jessie J's 100% Gay.,'Jessie J's 100% gay.,'Jessie J's 100% гей.,1
078fake.txt,"Ellen, Portia cancel appearance after 'epic' fight","Ellen, Portia annule l'apparence après le combat `` épique ''.","Ellen, Portia stornieren das Erscheinen nach dem 'epischen' Kampf.","Ellen, Portia canceló la aparición después de la pelea 'épica'.","Эллен, Порция отменил появление после «Эпического» боя.",1
030fake.txt,Brad Pitt 'lunged at son Maddox when he tried to defend mum Angelina Jolie',Brad Pitt a jeté son fils Maddox quand il a tenté de défendre maman Angelina Jolie '.,"Brad Pitt 'stürzte sich gegen Sohn Maddox, als er versuchte, Mutter Angelina Jolie zu verteidigen'.",Brad Pitt 'se lanzó al hijo Maddox cuando intentó defender a la mamá Angelina Jolie'.,"Брэд Питт «бросился на сына Мэддокс, когда попытался защитить маму Анджелину Джоли».",1
060fake.txt,"Former Beatle Ringo Starr Claims the ""Real"" Paul McCartney Died in 1966 and Was Replaced by Look-Alike","L'ancien Beatle Ringo Starr affirme que le ""vrai"" Paul McCartney est décédé en 1966 et a été remplacé par un regard..","Der frühere Beatle Ringo Starr behauptet, dass der ""echte"" Paul McCartney 1966 gestorben ist und durch Look-Alike ersetzt wurde.","El ex Beatle Ringo Starr afirma que el ""verdadero"" Paul McCartney murió en 1966 y fue reemplazado por parecido.","Бывший Битл Ринго Старр утверждает, что «настоящий» Пол Маккартни умер в 1966 году и был заменен похожой.",1
033fake.txt,MTO EXPLOSIVE TEA: Word Coming Out Of BARBADOS,Thé explosif MTO: mot sortant de la Barbade.,MTO Explosive Tee: Wort kommt aus Barbados.,MTO Té explosivo: palabra que sale de Barbados.,"MTO взрывной чай: слово, выходящее из Барбадоса.",1
041fake.txt,'Clueless' Kylie Jenner Desperate To Get Back Over $2 Million From Tyga,Kylie Jenner 'Clueless' 'désespérée de récupérer plus de 2 millions de dollars de Tyga.,"'Clueless' Kylie Jenner verzweifelt sich, über 2 Millionen Dollar von Tyga zurückzubekommen.",'Clueless' Kylie Jenner desesperada por recuperar más de $ 2 millones de Tyga.,«Чувеса» Кайли Дженнер отчаянно пытается получить более 2 миллионов долларов от Tyga.,1
050fake.txt,"Kanye West: If He's Not North's Father, Which Of Kim Kardashian's Exes Is?","Kanye West: S'il n'est pas le père de North, lequel des ex-Kard Kardashian est?.","Kanye West: Wenn er nicht Nords Vater ist, welcher von Kim Kardashians Exen ist?.","Kanye West: Si no es el padre del norte, ¿cuál de los ex de Kim Kardashian es?.","Канье Уэст: Если он не отец Норта, какой из бывших Ким Кардашьян?.",1
095fake.txt,Lindsay Lohan: Starlet Lusting After Vladimir Putin!,Lindsay Lohan: Starlette convoitant Vladimir Poutine!.,Lindsay Lohan: Starlet Lust nach Vladimir Putin!.,Lindsay Lohan: ¡Starlet Lusting después de Vladimir Putin!.,"Линдсей Лохан: Сжимание, жажда Владимира Путина!.",1
043fake.txt,GIRL ABOUT TOWN: Victoria Beckham is preparing for a fifth baby,Girl About Town: Victoria Beckham se prépare pour un cinquième bébé.,Mädchen um die Stadt: Victoria Beckham bereitet sich auf ein fünftes Baby vor.,Girl About Town: Victoria Beckham se está preparando para un quinto bebé.,Девушка о городе: Виктория Бекхэм готовится к пятому ребенку.,1
089fake.txt,Brad Pitt Struggles To Smile At Hollywood Event While Custody Battle Wears Him Down,Brad Pitt a du mal à sourire à l'événement hollywoodien tandis que la bataille de garde le porte.,"Brad Pitt bemüht sich, beim Hollywood -Event zu lächeln, während die Sorgerechtsschlacht ihn niederlässt.","Brad Pitt lucha por sonreír en el evento de Hollywood, mientras que la batalla de custodia lo desgasta.","Брэд Питт изо всех сил пытается улыбнуться на голливудском мероприятии, в то время как битва опекуна у него..",1
036fake.txt,Prince Harry & Meghan Markle Moving In Together,Prince Harry.,Prinz Harry.,Principe Harry.,Принц Гарри.,1
044fake.txt,Kate Middleton & Prince William Try To Save Crumbling Marriage?,Kate Middleton.,Kate Middleton.,Kate Middleton.,Кейт Миддлтон.,1
107fake.txt,Axed! Jennifer Hudson Won’t Be Asked Back To 'The Voice' Over Nightmare Diva Behavior,Hache! Jennifer Hudson ne sera pas interrogée sur le comportement de la diva de «la voix».,"AXED! Jennifer Hudson wird nicht zurück zu ""The Voice"" über dem Albtraum -Diva -Verhalten gefragt.",¡Axilado! A Jennifer Hudson no se le pedirá a 'The Voice' sobre el comportamiento de la diva de pesadilla.,Скоро! Дженнифер Хадсон не попросит обратно в «Голос» над кошмарной дивой поведением.,1
032fake.txt,JLo Dumped By NBC After Terrible Ratings - EXCLUSIVE,JLO jeté par NBC après des notes terribles - exclusif.,Jlo von NBC nach schrecklichen Bewertungen abgeladen - exklusiv.,JLO abandonado por NBC después de terribles calificaciones - Exclusivo.,JLO бросил NBC после ужасных рейтингов - эксклюзив.,1
106fake.txt,"Justin Bieber apparently wrote a ‘Love Bible’ about Selena Gomez, and it’s sweet but super weird","Justin Bieber a apparemment écrit une «Bible d'amour» sur Selena Gomez, et c'est doux mais super bizarre.","Justin Bieber hat anscheinend eine ""Liebesbibel"" über Selena Gomez geschrieben, und es ist süß, aber super komisch.","Justin Bieber aparentemente escribió una ""Biblia de amor"" sobre Selena Gomez, y es dulce pero súper extraño.","Джастин Бибер, очевидно, написал «Любовь Библию» о Селене Гомес, и это мило, но очень странно.",1
058fake.txt,PLOT TWIST IN 'FATHER-SON' MOVIEMAKER MYSTERY,Twist de l'intrigue dans le mystère de Movimaker «père-son».,Handlung Twist im 'Vater-Sohn' Moviemaker Mystery.,Twist de la trama en el misterio de 'padre-hijo'.,Сютный поворот в «Отца-сын» загадки Moviemaker.,1
074fake.txt,Taylor Swift & Justin Bieber Attend Knicks Game - Awkward Run-In?,Taylor Swift.,Taylor Swift.,Taylor Swift.,Тэйлор Свифт.,1
101fake.txt,"Pregnant Kylie Jenner Is 'Very Self-Conscious' About Her Changing Body, Says Source","Kylie Jenner enceinte est `` très consciente '' à propos de son corps changeant, dit Source.","Die schwangere Kylie Jenner ist in Bezug auf ihren sich verändernden Körper „sehr selbstbewusst“, sagt Quelle.","La embarazada Kylie Jenner es ""muy consciente de sí misma"" sobre su cuerpo cambiante, dice Source.","Беременная Кайли Дженнер «очень застенчива» относительно своего меняющегося тела, говорит источник.",1
053fake.txt,Blake Shelton and Lindsey Sporrer Cheating on Miranda Lambert - Divorce Expected | Celeb Dirty Laundry,Blake Shelton et Lindsey Sporrer trompent Miranda Lambert - Divorce attendu | Laverie sale de célébrité.,Blake Shelton und Lindsey Sporrer Betrug auf Miranda Lambert - Scheidung erwartet | Promi Dirty Wäsche.,Blake Shelton y Lindsey Sprorrer engañando a Miranda Lambert - Divorce esperado | Celeb Dirty Laundry.,Блейк Шелтон и Линдси Споррер изменяют Миранде Ламберт - Развод ожидается | Знаменитость грязное прачечная.,1
103fake.txt,Adventure & Romance! Inside 95-Year-Old Betty White's Bucket List,Aventure.,Abenteuer.,Aventura.,Приключение.,1
088fake.txt,Taylor Swift: The Real Reason She Gave Selena Gomez The Challenge,Taylor Swift: La vraie raison pour laquelle elle a donné le défi à Selena Gomez.,"Taylor Swift: Der wahre Grund, warum sie Selena Gomez die Herausforderung gab.",Taylor Swift: La verdadera razón por la que le dio a Selena Gomez el desafío.,"Тейлор Свифт: Реальная причина, по которой она дала Селене Гомесу вызов.",1
038fake.txt,Get Busy! Gwen & Blake Ordered To Show More PDA On 'The Voice',Être occupé! Gwen.,Beschäftigt werden! Gwen.,¡Estar ocupado! Gwen.,Быть занятым! Гвен.,1
096fake.txt,"Miley Cyrus 'In Tears,' May Quit 'The Voice' Amid Epic War With Adam Levine And Blake Shelton?","Miley Cyrus «en larmes», peut quitter «la voix» au milieu de la guerre épique avec Adam Levine et Blake Shelton?.","Miley Cyrus 'in Tränen,' darf 'die Stimme' inmitten des epischen Krieges mit Adam Levine und Blake Shelton verlassen?.","Miley Cyrus 'In Tears', puede dejar 'La voz' en medio de la épica guerra con Adam Levine y Blake Shelton?.",Майли Сайрус «В слезах» может бросить «голос» на фоне эпической войны с Адамом Левином и Блейком Шелтоном?.,1
093fake.txt,"'Fifty Shades Darker' Update: Jamie Dornan, Dakota Johnson split after feuding on set; Film's release delayed?","Mise à jour «Fifty Shades Darker»: Jamie Dornan, Dakota Johnson s'est séparée après la querelle sur le plateau; La sortie du film est retardée?.","'Fifty Shades Darker' Update: Jamie Dornan, Dakota Johnson trennte sich, nachdem er am Set fehlt; Die Veröffentlichung des Films verzögert?.","Actualización de 'Fifty Shades Darker': Jamie Dornan, Dakota Johnson se separó después de pelear en el set; ¿El lanzamiento de la película se retrasó?.","Обновление «Fifty Shades Darker»: Джейми Дорнан, Дакота Джонсон расстались после вращения на съемочной площадке; Релиз фильма задержался?.",1
070fake.txt,Ellen's $40M Haunted MansionELLEN DEGENERES fears she's got a creepy house-guest in her new $40 million mansion – a ghost!,"Le manoirllelle de 40 millions de dollars d'Ellen, DeGeneres, craint qu'elle ait une maison effrayante dans son nouveau manoir de 40 millions de dollars - un fantôme!.","Ellens $ 40 Millionen Haunted Mansionellen DeGeneres befürchtet, dass sie in ihrer neuen 40-Millionen-Dollar-Villa einen gruseligen Hausgust hat-einen Geist!.","Los $ 40 millones de Ellen embrujados Mansionellen DeGeneres temen que tenga un espeluznante hilo de la casa en su nueva mansión de $ 40 millones, ¡un fantasma!.","Эллен за 40 миллионов долларов с привидениями Mansionellen Dedeneres опасения, что у нее жуткая горка в своем новом особняке за 40 миллионов долларов-призрак!.",1
082fake.txt,"Whoopi Goldberg & New Host Rosie O'Donnell At War - Tension On 'The View,' Fighting Over Seating Arrangements",Whoopi Goldberg.,Whoopi Goldberg.,Whoopi Goldberg.,WOOPI GOLDBERG.,1
077fake.txt,Angelina Jolie & Amal Alamuddin: It's War!,Angelina Jolie.,Angelina Jolie.,Angelina Jolie.,Анджелина Джоли.,1
052fake.txt,Beyonce Gets a Surprise Visit From Hillary Clinton,Beyonce obtient une visite surprise de Hillary Clinton.,Beyonce bekommt einen überraschenden Besuch von Hillary Clinton.,Beyonce recibe una visita sorpresa de Hillary Clinton.,Бейонсе получает неожиданный визит Хиллари Клинтон.,1
073fake.txt,"Face Lift, Botox, Peels, Oh My! Ellen DeGeneres' Plastic Surgery Obsession Revealed","Lift, Botox, pelures, oh mon Dieu! L'obsession de la chirurgie plastique d'Ellen DeGeneres a révélé.","Facelifting, Botox, schaltet, oh mein Gott! Ellen DeGeneres 'plastische Chirurgie -Besessenheit enthüllte.","Levante facial, botox, pelas, ¡oh Dios! La obsesión de la cirugía plástica de Ellen DeGeneres reveló.","Лифт, ботокса, пилинга, о боже! Одержимость пластической хирургии Эллен ДеДженерес выявлена.",1
094fake.txt,On Her Own! Lady Gaga's Baby Plans Following Taylor Kinney Split Revealed!,Seul! Les plans du bébé de Lady Gaga après Taylor Kinney Split ont révélé!.,Auf eigene Faust! Lady Gagas Babypläne nach Taylor Kinney Split enthüllt!.,¡Por su cuenta! ¡Los planes de bebés de Lady Gaga después de Taylor Kinney Split revelaron!.,Сама по себе! Планы детской леди Гаги после Тейлора Кинни раскрылись!.,1
090fake.txt,"Selena Gomez And The Weeknd Engaged, Planning For Summer 2017 Wedding?","Selena Gomez et The Weeknd engagés, planifier le mariage pour l'été 2017?.","Selena Gomez und die Weeknd engagiert, Planung für die Hochzeit im Sommer 2017?.","Selena Gomez y The Weeknd comprometidos, ¿planificación para la boda de verano de 2017?.","Селена Гомес и The Weeknd, планируя свадьбу лета 2017 года?.",1
